epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2009.25,0.95619,0.67049,1.0772,0.90791,0.94098,0.95929,0.76457,0.96465,0.58755,1.05942,0.000167565,0.000167565,0.000167565
81,2037.42,0.95972,0.66782,1.07871,0.91709,0.92929,0.95894,0.76548,0.97163,0.5856,1.05988,0.000159952,0.000159952,0.000159952
82,2079.24,0.95023,0.67035,1.07528,0.91551,0.92756,0.95768,0.76446,0.97028,0.57749,1.06039,0.000152339,0.000152339,0.000152339
83,2126.39,0.94636,0.66481,1.06601,0.909,0.93208,0.95976,0.76857,0.96563,0.58727,1.05631,0.000144726,0.000144726,0.000144726
84,2154.68,0.95237,0.66519,1.06947,0.9083,0.93762,0.95944,0.76999,0.95997,0.57615,1.05501,0.000137113,0.000137113,0.000137113
85,2183.01,0.94584,0.66347,1.07021,0.91423,0.93614,0.95981,0.76926,0.96362,0.59173,1.05891,0.0001295,0.0001295,0.0001295
86,2227.13,0.94102,0.65863,1.06732,0.91792,0.93057,0.96048,0.76591,0.96846,0.59585,1.05815,0.000121887,0.000121887,0.000121887
87,2272.26,0.94162,0.66081,1.06714,0.91968,0.92992,0.96137,0.76854,0.96567,0.58459,1.05515,0.000114273,0.000114273,0.000114273
88,2300.34,0.94725,0.66219,1.07106,0.92091,0.92832,0.9605,0.77244,0.96125,0.58296,1.05431,0.00010666,0.00010666,0.00010666
89,2328.62,0.94217,0.65553,1.06865,0.92393,0.93151,0.96044,0.76746,0.96921,0.58135,1.05629,9.90472e-05,9.90472e-05,9.90472e-05
90,2374.4,0.9398,0.66057,1.06623,0.92026,0.93545,0.96064,0.76702,0.96603,0.57607,1.05695,9.14341e-05,9.14341e-05,9.14341e-05
91,2418.28,0.91662,0.60727,1.07658,0.92507,0.93462,0.96128,0.7634,0.97395,0.58218,1.05998,8.3821e-05,8.3821e-05,8.3821e-05
92,2446.13,0.9088,0.59945,1.07024,0.91983,0.93824,0.9602,0.76411,0.96623,0.57313,1.05854,7.62079e-05,7.62079e-05,7.62079e-05
93,2473.8,0.90132,0.59078,1.06442,0.91946,0.94,0.96033,0.76266,0.96893,0.57366,1.0599,6.85948e-05,6.85948e-05,6.85948e-05
94,2519.97,0.89322,0.58739,1.06028,0.92603,0.9304,0.95963,0.76388,0.9708,0.57746,1.06025,6.09817e-05,6.09817e-05,6.09817e-05
95,2562.68,0.89155,0.58379,1.05899,0.91485,0.93941,0.96016,0.7687,0.96644,0.57562,1.06012,5.33686e-05,5.33686e-05,5.33686e-05
96,2590.26,0.89179,0.58354,1.05892,0.91268,0.9405,0.95974,0.77057,0.96536,0.57746,1.06022,4.57555e-05,4.57555e-05,4.57555e-05
97,2618.18,0.88885,0.58117,1.05819,0.91314,0.9401,0.95857,0.76814,0.96713,0.57644,1.0609,3.81424e-05,3.81424e-05,3.81424e-05
98,2641.64,0.87853,0.5762,1.05205,0.91876,0.93341,0.95828,0.76711,0.9724,0.57712,1.06184,3.05293e-05,3.05293e-05,3.05293e-05
99,2663.79,0.8786,0.57834,1.05489,0.91539,0.93637,0.95748,0.76585,0.96999,0.57888,1.06065,2.29162e-05,2.29162e-05,2.29162e-05
100,2686.07,0.88393,0.57739,1.05835,0.9189,0.93302,0.95762,0.76829,0.96879,0.57871,1.06091,1.53031e-05,1.53031e-05,1.53031e-05
