epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,6032.13,0.64839,0.37644,0.969,0.92724,0.91272,0.94565,0.77755,0.64645,0.29247,1.01812,0.002575,0.002575,0.002575
77,6164.57,0.64869,0.38066,0.97072,0.94646,0.89886,0.94281,0.78088,0.64183,0.29345,1.0167,0.002476,0.002476,0.002476
78,6296.47,0.64531,0.3788,0.9685,0.91925,0.91751,0.9423,0.77838,0.63817,0.2904,1.01501,0.002377,0.002377,0.002377
79,6428.49,0.64044,0.37209,0.96668,0.92557,0.91049,0.94177,0.78357,0.63835,0.28762,1.01519,0.002278,0.002278,0.002278
80,6559.78,0.63721,0.3724,0.96483,0.91748,0.90811,0.93896,0.77997,0.63851,0.28859,1.01427,0.002179,0.002179,0.002179
81,6691.46,0.63726,0.36863,0.96521,0.92957,0.89911,0.93769,0.77966,0.63525,0.28705,1.01249,0.00208,0.00208,0.00208
82,6823.21,0.63462,0.36861,0.96641,0.92495,0.90229,0.93664,0.77887,0.63295,0.28462,1.01051,0.001981,0.001981,0.001981
83,6954.49,0.62978,0.36595,0.96292,0.92817,0.90024,0.93891,0.7841,0.63044,0.28505,1.0099,0.001882,0.001882,0.001882
84,7086.31,0.63179,0.36442,0.96155,0.92753,0.91029,0.93732,0.77987,0.62673,0.28144,1.00673,0.001783,0.001783,0.001783
85,7218.25,0.62849,0.36485,0.96179,0.95389,0.90203,0.9423,0.78085,0.63033,0.28077,1.00984,0.001684,0.001684,0.001684
86,7317.73,0.62282,0.36195,0.96047,0.96022,0.90305,0.94129,0.77989,0.62991,0.28032,1.01045,0.001585,0.001585,0.001585
87,7406.73,0.62268,0.36113,0.95965,0.9331,0.91652,0.94297,0.78025,0.62844,0.27972,1.0094,0.001486,0.001486,0.001486
88,7493.37,0.62304,0.35829,0.96049,0.937,0.91308,0.94306,0.78439,0.62517,0.2791,1.00787,0.001387,0.001387,0.001387
89,7592.49,0.62154,0.35987,0.95873,0.94688,0.90453,0.94238,0.78457,0.62544,0.27974,1.00946,0.001288,0.001288,0.001288
90,7722.65,0.61698,0.35573,0.95674,0.93539,0.9032,0.9427,0.78421,0.62414,0.27849,1.00853,0.001189,0.001189,0.001189
91,7853.84,0.57953,0.31366,0.95074,0.94044,0.89867,0.94068,0.78164,0.62202,0.27666,1.0066,0.00109,0.00109,0.00109
92,7983.61,0.56742,0.30415,0.94441,0.93745,0.90663,0.93976,0.78098,0.62118,0.27682,1.0067,0.000991,0.000991,0.000991
93,8113.3,0.55978,0.30006,0.93898,0.93588,0.91021,0.93754,0.77949,0.61943,0.27467,1.00572,0.000892,0.000892,0.000892
94,8243.36,0.55571,0.29832,0.93913,0.93529,0.91205,0.93638,0.78038,0.61587,0.27247,1.00375,0.000793,0.000793,0.000793
95,8372.93,0.55293,0.32447,0.94024,0.93395,0.90902,0.93487,0.78191,0.6128,0.27077,1.00169,0.000694,0.000694,0.000694
96,8502.43,0.54663,0.29269,0.9343,0.92991,0.91182,0.93547,0.78261,0.6136,0.27015,1.00338,0.000595,0.000595,0.000595
97,8631.67,0.54512,0.29068,0.93135,0.93758,0.9087,0.93677,0.78312,0.61123,0.26989,1.0015,0.000496,0.000496,0.000496
98,8761.2,0.54126,0.28733,0.93321,0.92199,0.91214,0.93377,0.7819,0.6125,0.26932,1.003,0.000397,0.000397,0.000397
99,8891.04,0.53772,0.28399,0.92991,0.93685,0.90275,0.93412,0.78174,0.61189,0.26868,1.00293,0.000298,0.000298,0.000298
100,8994.41,0.53412,0.28383,0.92911,0.93541,0.90489,0.93429,0.78224,0.6111,0.26802,1.00281,0.000199,0.000199,0.000199
