epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1430.1,0.9558,0.77666,1.44843,0.65765,0.7058,0.7313,0.48003,1.12642,0.91893,1.72712,0.002872,0.002872,0.002872
74,1449.16,0.95689,0.78429,1.44861,0.62588,0.71223,0.73572,0.48542,1.12726,0.92195,1.72427,0.002773,0.002773,0.002773
75,1468.25,0.95908,0.78637,1.44809,0.62361,0.71936,0.72857,0.4825,1.11734,0.90708,1.71686,0.002674,0.002674,0.002674
76,1487.09,0.95408,0.77096,1.44245,0.64518,0.69026,0.72859,0.48634,1.10895,0.91962,1.7141,0.002575,0.002575,0.002575
77,1505.98,0.95432,0.78276,1.44226,0.67025,0.69006,0.7264,0.48643,1.1122,0.92271,1.71845,0.002476,0.002476,0.002476
78,1524.51,0.95225,0.77622,1.44687,0.64366,0.7054,0.73266,0.48829,1.10989,0.91789,1.71865,0.002377,0.002377,0.002377
79,1542.89,0.94907,0.76849,1.43874,0.64688,0.68875,0.73574,0.48622,1.1191,0.90353,1.72576,0.002278,0.002278,0.002278
80,1561.06,0.94761,0.77147,1.43731,0.65588,0.71144,0.73802,0.49559,1.11133,0.90537,1.71732,0.002179,0.002179,0.002179
81,1580.1,0.95022,0.76743,1.43891,0.6584,0.71633,0.74249,0.49733,1.10892,0.89841,1.71499,0.00208,0.00208,0.00208
82,1599.17,0.94717,0.76548,1.43491,0.67898,0.67114,0.74382,0.49532,1.10962,0.90081,1.71393,0.001981,0.001981,0.001981
83,1617.91,0.94269,0.76594,1.4347,0.66003,0.69583,0.74627,0.49832,1.10916,0.89735,1.71312,0.001882,0.001882,0.001882
84,1636.82,0.94364,0.76224,1.43086,0.6879,0.68623,0.74784,0.49956,1.1072,0.89588,1.71166,0.001783,0.001783,0.001783
85,1655.57,0.94242,0.76192,1.43206,0.66828,0.70231,0.74646,0.4971,1.10698,0.90175,1.71301,0.001684,0.001684,0.001684
86,1674.43,0.93901,0.75892,1.43143,0.66303,0.68944,0.73921,0.49315,1.10763,0.89981,1.71319,0.001585,0.001585,0.001585
87,1693.25,0.9405,0.76854,1.43057,0.65774,0.69471,0.74183,0.49679,1.10393,0.90078,1.70381,0.001486,0.001486,0.001486
88,1712.12,0.9442,0.76451,1.43145,0.71098,0.67684,0.74822,0.49952,1.10962,0.89185,1.70765,0.001387,0.001387,0.001387
89,1730.87,0.93733,0.75839,1.42748,0.69494,0.67574,0.74583,0.5,1.113,0.88831,1.71242,0.001288,0.001288,0.001288
90,1749.72,0.93731,0.75457,1.42777,0.70637,0.68615,0.75243,0.5061,1.10853,0.88439,1.70785,0.001189,0.001189,0.001189
91,1769.14,0.89804,0.70781,1.41213,0.67371,0.68623,0.74763,0.50101,1.10982,0.88131,1.71529,0.00109,0.00109,0.00109
92,1787.54,0.89622,0.69633,1.41093,0.70512,0.6596,0.73661,0.49504,1.10243,0.87341,1.71379,0.000991,0.000991,0.000991
93,1805.87,0.88735,0.68923,1.40368,0.63809,0.71472,0.73555,0.49737,1.10018,0.86678,1.71423,0.000892,0.000892,0.000892
94,1824.21,0.88882,0.68718,1.40488,0.64186,0.73854,0.74189,0.50414,1.08936,0.87505,1.70913,0.000793,0.000793,0.000793
95,1842.7,0.88929,0.73028,1.40834,0.65033,0.71598,0.74779,0.50937,1.08152,0.86605,1.70272,0.000694,0.000694,0.000694
96,1861.2,0.87939,0.68085,1.39694,0.65832,0.70619,0.74705,0.50871,1.07379,0.86525,1.69654,0.000595,0.000595,0.000595
97,1879.79,0.87627,0.67653,1.3958,0.65893,0.71631,0.74496,0.50906,1.07685,0.86244,1.6972,0.000496,0.000496,0.000496
98,1898.25,0.87943,0.67972,1.39648,0.67021,0.70275,0.74615,0.50902,1.07867,0.85865,1.69973,0.000397,0.000397,0.000397
99,1916.62,0.87428,0.67468,1.39249,0.67018,0.70651,0.74595,0.50937,1.0741,0.85703,1.69671,0.000298,0.000298,0.000298
100,1935.04,0.87616,0.67794,1.39796,0.66547,0.70777,0.74747,0.51145,1.07025,0.85198,1.69343,0.000199,0.000199,0.000199
